Estado;LLC;C CORP;S CORP
Alabama;200;200;200
Alaska;250;250;250
Arizona;50;60;60
Arkansas;45;50;50
California;70;100;100
Colorado;50;50;50
Connecticut;120;250;250
Delaware;90;89;89
District of Columbia;220;220;220
Florida;125;70;70
Georgia;100;100;100
Hawaii;50;50;50
Idaho;100;100;100
Illinois;150;175;175
Indiana;95;100;100
Iowa;50;50;50
Kansas;160;90;90
Kentucky;40;50;50
Louisiana;100;100;100
Maine;175;145;145
Maryland;100;120;120
Massachusetts;500;275;275
Michigan;50;60;60
Minnesota;155;160;160
Mississippi;50;50;50
Missouri;50;58;58
Montana;35;70;70
Nebraska;100;65;65
Nevada;425;725;725
New Hampshire;100;100;100
New Jersey;125;125;125
New Mexico;50;100;100
New York;200;125;125
North Carolina;125;125;125
North Dakota;135;100;100
Ohio;99;125;125
Oklahoma;100;52;52
Oregon;100;100;100
Pennsylvania;125;125;125
Rhode Island;150;230;230
South Carolina;110;135;135
South Dakota;150;150;150
Tennessee;300;125;125
Texas;300;300;300
Utah;59;72;72
Vermont;125;125;125
Virginia;100;79;79
Washington;200;200;200
West Virginia;100;100;100
Wisconsin;130;100;100
Wyoming;100;100;100
