Serviços Incluídos,Silver,Gold,Diamond
Articles of Organization - preparation & file,-,-,-
Corporate name availability searches,-,-,-
Statement of Organizer in Lieu of Organization Meeting,50,00,50,00,-
Phone & Email Support for 1st month,100,00,-,-
Tax Consulting (billed by the hour),100,00,100,00,100,00
Company due dates Alerts (first fiscal year),-,-,-
EIN. - highly recommended,50,00,50,00,50,00
Banking Resolution,55,00,55,00,-
Customized Company Kit (recommended),96,00,96,00,96,00
Monthly company mail scanning & forwarding services,480,00,480,00,480,00
Annual corporate virtual office address,720,00,720,00,720,00
Ezcontrol software user license,192,00,192,00,192,00
Annual ez2sign subscription,60,00,60,00,60,00
Annual encrypfile subscription,96,00,96,00,96,00
Annual bookkeeping (1 bank account only),720,00,720,00,720,00
